"name","url","productCount","stock","minPrice","maxPrice","lastSeen","categories"
"各类低价对接汇总","https://pay.ldxp.cn/shop/G062JE24","1002","122340","0.02","1515148.48","2026-08-03T01:13:32.0005790+08:00","短效手机接码（Codex） | 工具卡密 | 谷歌老邮箱 | 谷歌邮箱 | 教程 | 教育邮箱 | 其他会员 | 其他邮箱 | 视频AI账号 | 手机接码（其他） | 梯子 | 微软邮箱 | 长效手机接码（Codex） | 中转站 | APPLE ID | Claude 20X 成品账户 | Claude 20X 充值 | Claude 5X 成品账户 | Claude 5X 充值 | Claude 普号 | Claude K12 | Claude Pro | Cursor | Gemini Pro 成品（反重力） | Gemini Pro 成品账户 | Gemini Pro 充值 | Gemini Pro 优惠链接 | GPT Codex（已接码可反代） | GPT Free | GPT K12 | GPT PLUS 充值（试用） | GPT PLUS 提链 | GPT Plus 网页成品（首登） | GPT Plus 网页成品（质保） | GPT Plus 正价充值 | GPT Pro 20X 充值 | GPT Pro 5X 充值 | GPT Team/Go | GPT拼车 | Grok 成品 | Grok 充值 | hotmail邮箱 | iCloud邮箱 | Kiro | kyc认证 | TG/飞机号 | Tiktok/电报/X等账号"
"ai小头","https://pay.ldxp.cn/shop/plus123","594","90961","0.04","1870","2026-08-03T01:24:55.3832550+08:00","谷歌邮箱 | 韩国扫码cdk | 黑冲货源 | 接码 | 美国教育邮箱 | 美国雅虎 | 苹果P12个人证书 | 生图神器 | 特价货源 | 特殊商品 | 提链服务 | 微软邮箱 | 邮箱类 | 质保专区 | 智谱月卡服务 | ChatGPT | ChatGPT Plus | ChatGPT(正价代充) | Chatgpt官方直充 | claude | Claude官方直充 | codex 邮箱 | Cursor | DeepSeek月卡服务 | GEMINI | gemini 充值 | Gemini Pro | GPT | GPT Free | GPT-直充-月卡 | GPT-FREE | GPT成品号 | GPT官方直充 | GPT系列 | Grok | HOTMAIL邮箱 | iCloud隐私邮箱 | iCloud邮箱 | Instagram | ip | k12 | Open Ai 邮箱 | Team | TG/电报/飞机"
"Alexander","https://pay.ldxp.cn/shop/A527DVFS","530","82974","0.07","1802.15","2026-08-03T01:09:57.3074800+08:00","短效接码系列 | 反重力GCP/CLI Gemini Pro | 谷歌邮箱/gmail | 苹果账号 ID/APPLE ID/iCloud | 微软邮箱/outlook/hotmail | 虚拟卡 | 雅虎邮箱/yahoo | 长效接码系列 | Chat GPT 图片生成 | ChatGPT Free | ChatGPT K12 教师版 | ChatGPT Plus 成品号 | ChatGPT Plus 代充 | ChatGPT Pro 20x | Chatgpt Pro 5x | ChatGPT Pro 低价 | ChatGPT Team | Claude 订阅充值 | Cluade Max 20x | Cluade Max 5x | Cursor | Gemini Pro 成品号 | Gemini充值订阅 | GROK | kiro | TG/电报/飞机/ Telegram 账号 | TikTok"
"叮当喵AI旗舰店","https://pay.ldxp.cn/shop/dingdangmao","448","40247","0.02","2113.5","2026-08-03T00:55:54.5508940+08:00","【PLUS池高质量中转站】【不限时长余额】 | ✅GPT 正规渠道pro代充 | 0刀卡和长效接码 | 店长主推 | 各类邮箱 | 工具卡密 | 谷歌系列 | 谷歌邮箱普号 | 谷歌邮箱系列 | 谷歌ai gemini | 接🐎类 | 接码 | 接码codex、pp和虚拟卡 | 九、福利特价区 | 全分类 | 全品类 | 手搓GPTplus，日抛周抛，看节点决定 | 手搓PLUS号（点开商品看详情） | 土区plus直冲 | 网络代理 | 微软 | 微软邮箱、谷歌邮箱账号可注册gpt、gemini等其他ai软件 | 邮箱账号 | 正规渠道充值自己个人账号【买的多久保多久】 | 正规GPT土区直充/ CC pro直充 | 住宅IP | AI 快充 | AI IDE账号 | AI订阅 | AI订阅/cdk | Ai会员分区 | AI直充 | Chat GPT | chat gpt 充值 | chat GPT 代充 | Chat gpt【主推】 | ChatGPT | ChatGPT Plus | Chatgpt plus 成品号 | ChatGPT Plus 无质保 | ChatGPT Pro | ChatGPT(正价代充) | ChatGPT|Codex | ChatGPT成品号 | Chatgpt充值 | Chatgpt官方充值 | Chatgpt官方直充 | ChatGPT最稳 | Claude | claude  grok | claude pro 5x 20x等相关服务 | Claude--成品 | Claude（克劳德） | Codex  GPT接码 | codex free | codex接码 | Cursor | Discord Shop | Figma | Gemini | gemini pro | Gemini Pro会员分区 | Gemini pro优惠链接 | gemini成品 美国住宅ip  GV  flow | Gemini充值订阅 | Gemini零售 | Gmini | Google | Google AI | Google Voice | GPT | gpt  claude充值 | GPT | Gemini  | Claude | Grok | GPT 接码 | gpt free | GPT Plus | GPT PLUS 成品 | GPT Plus 成品/代充 | Gpt Plus 成品账号 | GPT PLUS/Team | GPT PLUS成品号 | Gpt pro官方直充 | GPT team 母号开通 | GPT-plus充自己号 | gpt/codex辅助验证 | GPT纯手工正规代充！！！ | GPT官方充值 | GPT官方直充plus pro（质保一个月） | gpt接码 | gpt卡密直充 | GPT一条龙 | gpt账号 | Grok | grok-全部 | icloud plus | ip | K12 | kyc认证 | Open Ai | Outlook | paypal | PLUS | PLUS 成品号 | plus拼车 | SMS短信接码 | TG/电报/飞机/gram 账号 | TikTok | X会员"
"各种ai，会员，账号","https://pay.ldxp.cn/shop/59JCCCGO","367","48224","0.39","1820","2026-08-03T01:06:13.8323440+08:00","0刀卡和一刀卡 | 接码 | 美国雅虎YAHOO.COM邮箱 | 推特-X | 微软邮箱 | Chat gpt team | ChatGPT free | ChatGPT Pro | Claude | codex接码 | cursor | gemini | Gmail邮箱 | gpt 荷兰 | GPT 有质保 | GPT plus upi | gpt-pro | GPT官方充值 | GPT无质保 | Grok | iCloud隐私邮箱 | iCloud邮箱Plus成品号 | Kiro | kyc认证 | paypal | TG/电报/飞机/gram 账号 | TikTok"
"0.09pro 0.9ccmax源头号池","https://pay.ldxp.cn/shop/AABBCCDD","297","18662","0.1","1848","2026-08-03T01:24:55.3832550+08:00","【安卓云机】极光云（卡密，兑换云机时长） | 抖音粉丝 | 抖音获客 | 短信接码 | 谷歌邮箱系列 | 会员权益 | 接码 | 接码codex、pp和虚拟卡 | 精品软件 | 九、福利特价区 | 六、百度网盘年卡共享区 | 瑞幸咖啡 | 三、账号服务区 | 天枢Ai | 图与视频 | 微软邮箱、谷歌邮箱账号可注册gpt、gemini等其他ai软件 | 微信类 | 五、软件安装区（两个及以上打8折） | 一、电脑端远程外网环境部署区 | 一剑开天门 | 邮箱 | 源头精品成品手搓质保5-30天plus号 | 云机属于代售→有问题联系官方在线客服【云机APP有在线客服】 | 中转站 | AI 直充 | AI订阅 | AI直充 | chatgpt | Chatgpt | Gemini  | Claude | Grok | ChatGPT Plus | ChatGPT Pro | ChatGPT(正价代充) | Chatgpt官方直充 | ChatGPT最稳 | Claude | claude  grok | Claude Max 20x | Claude官方直充 | codex接码 | Gemini | Gemini Pro | gpt | Gpt Free | GPT PLUS/Team | GPT PLUS成品号 | gpt-plus | gpt-pro | GPT/codex | GPT官方直充 | GPT官方直充plus pro（质保一个月） | GPT账号 | Grok | Instagram | ip | Outlook | PLUS | Qianfu模型 | SVIP会员 | TG/电报/飞机/ Telegram 账号 | TG/电报/飞机/gram 账号 | tg账号 | TK抢单系统 | X / 推特账号 | YX_DRV | YxTools"
"ai不源头（看公告）","https://pay.ldxp.cn/shop/3GM9S065","288","57738","0.09","1960","2026-08-03T00:59:26.1539510+08:00","【账号购买】 | 【PLUS池高质量中转站】【不限时长余额】 | ✅GPT 正规渠道pro代充 | 1.Cursor | 吃丹修仙苹果 | 充值卡 | 抖音获客 | 各类邮箱 | 谷歌系列 | 谷歌邮箱普号 | 谷歌邮箱系列 | 谷歌ai gemini | 会员权益 | 接码 | 接码codex、pp和虚拟卡 | 九、福利特价区 | 卡密 | 夸克网盘助手 | 六、百度网盘年卡共享区 | 漫想+ 兑换码 | 苹果ID下载号 | 全部 | 全部商品 | 三、账号服务区 | 神秘代码 | 生图神器 | 实习社 · SITE | 授权码 | 外区 🍎🆔 | 微软 | 微软邮箱、谷歌邮箱账号可注册gpt、gemini等其他ai软件 | 星星云手机 | 一、电脑端远程外网环境部署区 | 一键吃丹苹果 | 硬件钱包 | 邮箱 | 源头精品成品手搓质保5-30天plus号 | 月卡 | 云机激活码：星星云     vmos | 正规渠道充值自己个人账号【买的多久保多久】 | 中转站额度 | AI IDE账号 | Ai充值卡密CDK | Ai大模型充值兑换码 | AI订阅/cdk | AI工具 | Ai会员分区 | AI来了中转站套餐  官方倍率 | ainzy卡密充值 | auto-code | capcut | Chat gpt | chat gpt 成品号 | Chatgpt | ChatGPT PLUS | ChatGPT Plus 5x 20x | Chatgpt plus 成品号 | Chatgpt充值 | Chatgpt官方充值 | Claude | claude  grok | claude pro 5x 20x等相关服务 | codex free | codex接码 | Cursor | Facebook | Figma | FlowAPI 服务站 | Gemini | Gemini 3.1Pro官网直充 三个月 | gemini 成品 | gemini 充值 | gemini pro | Gemini Pro会员 | gemini成品 美国住宅ip  GV  flow | Gemini充值订阅 | Gmini | Google | Google普通邮箱 | GPT | gpt 账号 | gpt free | GPT PLUS/Team | GPT PLUS成品号 | GPT-image2 图片（月卡） | GPT-PLUS | gpt-pro | GPT纯手工正规代充！！！ | GPT官方充值 | gpt接码 | gpt卡密直充 | GPT一条龙 | gpt账号 | grok | Instagram | largechestnut.com | Open Ai | outlook | PLUS | plus拼车 | SVIP会员 | Telegram | TG/电报/飞机/ Telegram 账号 | TikTok | X | X会员 | YouTube | ㅤ"
"人工智能小铺","https://pay.ldxp.cn/shop/86CA7TA7","230","16160","0.5","1920.5","2026-08-03T01:24:55.3832550+08:00","反代 | 高级邮箱 | 谷歌邮箱新老账号 | 教育邮箱 | 接码 | 静态IP | 苹果礼品卡 | 热门ai-工具合集 | 软件工具 | 视频网盘会员 | 微软邮箱 | 硬件钱包 | Claude | Gemini pro 成品号 | GPT PLUS 成品号 | GPT PLUS 正规官方代充 | gpt plus试用开通（代开） | grok | iCloud 隐私邮箱 （开plus 绑定专用） | k12 | team | TG Premium会员 | TikTok | X会员 Premium"
"梦泽","https://pay.ldxp.cn/shop/mengze","219","60435","0.05","1659","2026-08-03T01:21:44.1927740+08:00","短期/长效接码 | 反代教程 | 即梦系列 | 教育优惠 | 拼车系列（含官网直冲、成品） | 特价充值【多渠道自助充值 、提链】 | 邮箱email | AI工具 | AI新渠道新货【试用日抛、速刷成品等】 | CLaude 成品 | Claude kyc | Claude直充 | Gemini系列 | GPT 成品 质保系列 | GPT PLUS 直充系列 | GPT PRO 直充系列 | GPT的Free号 | GROK系列 | K12/team/bugteam"
"如鱼得水(玩转ai)","https://pay.ldxp.cn/shop/yes","198","42225","0.12","1659","2026-08-03T00:52:11.4988320+08:00","20X(无质保) | 低价邮箱 | cursor | FREE | gemini（反重力） | Gmail邮箱 | GPT-plus半成品号 | GPT-plus已接码成品号 | Grok分组 | k12 | kiro成品号"
"元Ai","https://pay.ldxp.cn/shop/yuanAi","167","32676","0.02","1868.9","2026-08-03T00:52:11.4988320+08:00","邮箱 | ChatGPT | Claude | Cursor | Gemini | GPT PLUS 月卡CDK | GPT月卡 | Grok"
"AI账号乐园","https://pay.ldxp.cn/shop/SB9T68JP","164","25600","0.06","313.5","2026-08-03T01:28:14.9787100+08:00","【ChatGPT free】 | 【Chatgpt plus】 | ✈️telegram | 🌞Claude | 🌹tiktok | 🌺邮箱 | 👌Grok | 📱接码 | 😋cursor | 😋Gemini"
"杨洋的Ai小店","https://pay.ldxp.cn/shop/TGENQX9V","114","17908","0.02","1364","2026-08-03T01:28:14.9787100+08:00","中转站额度 | ChatGPT 20x | ChatGPT 5x | ChatGPT Free | ChatGPT K12 | ChatGPT Plus | ChatGPT接码 | ChatGPT邮箱 | claude账号 | Figma | Gemini | Grok"
"team最后的余晖","https://pay.ldxp.cn/shop/EXZMM8SQ","103","8039","0.24","1798.8","2026-08-03T01:13:32.0005790+08:00","【一次接码】Codex 登录验证 稳定高效 | 【长效接码】Codex 登录验证  可续费保号 | 垂直AI | 各类邮箱 | 工具卡密 | 谷歌系列 | 谷歌邮箱 | 谷歌邮箱系列 | 接码 | 全分类 | 邮箱 | AI订阅 | ai会员 | AI直充 | chat gpt | chatgpt | ChatGPT Plus | Chatgpt plus 成品号 | ChatGPT Pro | Claude | claude  grok | codex接码 | gemini | GPT | GPT-充自己号 | gpt-plus | gpt-pro | GPT官方直充 | GPT官方直充plus pro（质保一个月） | gpt接码 | Grok | grok-全部 | ip | Open Ai | plsu | PLUS | plus账号密码 | Super Gork | TG/电报/飞机/ Telegram 账号"
"远程技术服务站","https://pay.ldxp.cn/shop/yunduo","97","28082","1.04","1430","2026-08-03T01:24:55.3832550+08:00","1.Cursor | 短信接码 | 各类邮箱 | 谷歌系列 | 接码 | 九、福利特价区 | 六、百度网盘年卡共享区 | 全分类 | 三、账号服务区 | 手搓PLUS号（点开商品看详情） | 四、会员代充区 | 五、软件安装区（两个及以上打8折） | 一、电脑端远程外网环境部署区 | 邮箱账号 | Ai充值卡密CDK | AI订阅 | AI直充 | chat gpt | Chat gpt【主推】 | Chat GPT代充 | Chatgpt | ChatGPT -（主营推荐👍） | Chatgpt | Gemini  | Claude | Grok | chatgpt plus | ChatGPT|Codex | Chatgpt官方直充 | Claude | Codex  GPT接码 | codex接码 | gemini | gemini 充值 | Gemini Pro会员 | GPT | gpt free | GPT PLUS/Team | gpt-plus | gpt/codex辅助验证 | GPT官方充值 | gpt账号 | Grok | grok-全部 | iCloud 邮箱 | Open Ai | TG/电报/飞机/ Telegram 账号 | TG/电报/飞机/gram 账号 | X | ㅤ"
"一梦AI","https://pay.ldxp.cn/shop/yimengai","96","19992","0.12","1298","2026-08-03T01:24:55.3832550+08:00","手搓GPTplus，日抛周抛，看ip决定 | 手搓GPTplus，月抛(注意商品介绍) | 手机接码 | 邮箱 | 正规直充GPT，直充月卡 | chatgpt codex成品号(free 普通号) | Claude成品号 | Claude充值 | gemini | gpt提链 | Grok | ip | TG/电报/飞机/gram 账号"
"ai教父","https://pay.ldxp.cn/shop/AEUQ8PP3","90","26300","0.35","1450","2026-08-03T01:24:55.3832550+08:00","谷歌邮箱 | 即梦 | Chat gpt | chatgpt free 已接码 | ChatGPT官方 | Claude | codex接码 | gemini pro | grok-全部 | iCloud邮箱 | ip | TG/电报/飞机"
"鹰鹰小铺","https://pay.ldxp.cn/shop/GUEOI7Z9","88","33153","0.08","1350","2026-08-03T01:13:32.0005790+08:00","即梦 | 虚拟卡 / 接码 | 邮箱账号 | ChatGPT 成品账号 | ChatGPT 成品账号（长质保） | ChatGPT Free / Team / K12 | ChatGPT Plus / Pro 充值 | Claude / Adobe / 其他 AI | Codex 接码 | Gemini / Google AI | Grok | Kiro"
"逍遥小铺","https://pay.ldxp.cn/shop/857","86","32430","0.11","2004","2026-08-03T00:48:19.5027050+08:00","谷歌邮箱 | 接码codex、pp和虚拟卡 | 微软邮箱 | Claude | Cursor | Gemini | GPT free普号 | GPT PLUS/PRO正价 | GPT PLUS渠道价 | Grok | icloud邮箱 | TG/电报/飞机/ Telegram 账号"
"煎饼果子Oliver","https://pay.ldxp.cn/shop/qq987G","85","19869","0.15","1188.1","2026-08-03T01:18:01.1337090+08:00","邮箱 | Claude | Gemini | gpt codex接码 | gpt Free账号 | gpt plus日抛价格号 | GPT plus正规代充 | GPT-plus/team质保成品号 | GROK | kiro"
"xiaoxiao","https://pay.ldxp.cn/shop/YD93JLNG","84","23341","0.11","360.94","2026-08-03T01:06:13.8323440+08:00","谷歌邮箱 | 微软邮箱 | codex接码 | gemini pro | gpt plus（低价成品号） | GPT官方充值（正价充值） | Grok+Claude"
"源头AI - Bot","https://pay.ldxp.cn/shop/A8KYS0FY","79","14239","0.5","1920.5","2026-08-03T01:24:55.3832550+08:00","反代号源（gpt/gork/claude） | 接码 | 邮箱 | apple id | Claude | Gemini Pro | GPT Plus 成品号 | GPT Plus 官方代充 | GPT Pro 20x | GPT Pro 5x | GPT team | Grok | x会员 | kyc认证 | paypal | 0刀卡"
"牟利ai","https://pay.ldxp.cn/shop/2VWX76A4","77","25673","0.2","145","2026-08-03T01:24:55.3832550+08:00","接码 | 全部 | 新渠道Plus 高级权益(质保2～30) | 邮箱 | ChatGPT官方充值 | codex free | Gemini | GPT PLUS自助开通（*仅免费试用资格新号） 新号都可以 | GPT Team | Grok"
"山姆奥特曼","https://pay.ldxp.cn/shop/H2GHL1R1","77","4627","0.5","1364","2026-08-03T01:24:55.3832550+08:00","苹果id | 邮箱 | ChatGPT | Chatgpt官方直充 | Claude | Codex/ChatGPT接码 | cursor | Gemini | Grok | k12"
"chiyu","https://pay.ldxp.cn/shop/OUJ1HPBV","77","9848","0.02","1200","2026-08-03T01:09:57.3074800+08:00","接码（美区单次短效） | 接码（美区长效） | 微软/谷歌邮箱 | ChatGPT 自助开通 | ChatGPT PLUS | ChatGPT PLUS（质保） | ChatGPT Plus/Pro 官方充值 | ChatGPT Team | Claude | Gemini | gpt free | Grok | TG/电报/飞机/ Telegram 账号"
"ming的AI商店","https://pay.ldxp.cn/shop/ming","70","4422","0.59","1830","2026-08-03T01:21:44.1927740+08:00","成品号 | 短信接码 | 生图神器 | 账号类 | ChatGPT | ChatGPT Pro | Claude | cursor | Gemini Pro | gpt free | GPT PLUS自助开通（*仅免费试用资格新号） 新号都可以 | Gpt短期 | grok-全部"
"金幺の小店","https://pay.ldxp.cn/shop/911","68","12449","0.02","1357","2026-08-03T01:24:55.3832550+08:00","接码 | 其他 | 邮箱 | chatgpt | CLAUDE | gemini | GROK"
"派大星","https://pay.ldxp.cn/shop/harvey","67","25785","2.4","1900","2026-08-03T01:02:52.0019990+08:00","接码 | 满血api | 其他 | 邮箱 | ChatGPT | ChatGPT福利号 | Claude | Cursor | Gemini | Grok | Kiro | Perplexity | telegram"
